show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,month_added,year_added
s9402,tv show,Supermansion,Desconocido,Desconocido,desconocido,2021-10-05,2019,tv-nr,3 Seasons,"animation, comedy","A group of superheroes, led by Titanium Rex, find it's sometimes easier to take down villains than live together harmoniously under one roof.",10,2021
s9417,tv show,Tomorrow's Joe 2 (Original Japanese Audio),Desconocido,"Teruhiko Aoi, Jūkei Fujioka, Emi Tanaka, Ryusei Nakao, Yoshito Miyamura",desconocido,2021-10-06,1981,13+,2 Seasons,"anime, drama, sports","Joe, one of the top ranked boxers in the world, no longer has the yearning or desire to enter the ring again after killing his previous opponent by landing a wicked left jab to his temple. His confidence and competitive spirit is restored when he decides to overcome his fear by facing the uncrowned king from Venezuela, Carlos Rivera.",10,2021
s9509,tv show,Go Buster - Classic Nursery Rhymes & Songs (Made by Little Baby Bum),Desconocido,Desconocido,desconocido,2021-10-07,2021,all,5 Seasons,kids,"Go Buster is an animated online educational kids series watched all over the globe. Brought to you by the creators of Little Baby Bum, Go Buster encourages learning, creativity, and fun! Learn colors, shapes, and numbers with our well-loved characters! In this season, enjoy some original kids' songs such as Where's Buster?, Wash Your Hands, and special guest characters such as Cozy Coupe & more!",10,2021
s9512,tv show,Cocomelon American Sign Language - Cartoons for Kids,Desconocido,Desconocido,desconocido,2021-10-07,2019,all,3 Seasons,kids,"Watching good quality kids' shows can be a great support in a child's development. It is a way to explore emotions in a safe space, learn about relating to other people and about basic concepts such as vocabulary and counting. This is why we are making our hugely popular kids show 'CoComelon' available to all kids in ASL.",10,2021
s9530,tv show,The Ambassador,Desconocido,"Tim Matthews, Pauline Collins, Dominic Mafham, Denis Lawson, Owen Roe, Alison Mckenna, William Chubb, Tom Connolly, Sara Markland",desconocido,2021-10-08,1998,13+,2 Seasons,drama,"Harriet Smith, the new British ambassador to Ireland, desperately wants to make her mark in this historically difficult posting and try to put the tragic murder of her husband behind her. However, the situation is made considerably worse for her by her son Nate who refuses to accept the consequences of her new ambassadorial role and still blames her for his fathers death.",10,2021
s9538,tv show,Pan y Circo,Desconocido,Desconocido,desconocido,2021-10-08,2021,7+,2 Seasons,"special interest, talk show and variety, unscripted","Mexican actor and director Diego Luna returns with Bread and Circus, the winner series of Daytime Emmy for Best show in Spanish. In these specials, Diego Luna sets the table for guests, who will listen to others remotely, to talk about access to healthcare, the crisis of democracies, being an immigrant, and protest as a way to transform.",10,2021
s9547,tv show,Hidden Villages,Desconocido,Penelope Keith,desconocido,2021-10-08,2016,all,2 Seasons,"documentary, special interest","In this series, renowned actress Dame Penelope Keith travels through Britain's charming villages to uncover why these places are so unique and special. Armed with her vintage 'Batsford' travel books, Penelope explores the rich artistic, literary and royal histories of each region, discovers how time has changed village communities, and seeks out local traditions which continue to this day.",10,2021
s9636,tv show,Pokémon the Series: Diamond and Pearl,Desconocido,Ikue Ohtani,desconocido,2021-10-10,2011,all,12 Seasons,"animation, kids","Ash, Dawn, and Brock continue to travel across the Sinnoh region, facing challenges, battles, and the antics of Team Rocket! With Team Galactic out of the way, Ash can now focus on qualifying for the Sinnoh League. Meanwhile, Dawn trains to compete for her final contest ribbon, which would allow her to compete in the Sinnoh Grand Festival!",10,2021
s9643,tv show,Lunkerville,Desconocido,Michael de Avila,desconocido,2021-10-10,2021,13+,2 Seasons,"documentary, special interest, sports","Lunkerville's launches ""Get Folks Fishing"", a social wellness initiative host Mike D hopes will inspire more people to add recreational fishing to their outdoor activities. Each episode is fun-packed with tips, tactics and interesting personalities and features real people with real fish stories. From bass fishing in NYC, to family fun fishing, to ice-fishing, there's something for everyone!",10,2021
s9648,tv show,Kids In The Hall,Desconocido,Desconocido,desconocido,2021-10-10,1995,tv-14,5 Seasons,"arts, entertainment, and culture, comedy","""The Kids in the Hall"" is a unique and bizarre sketch comedy series that incites humor through an intellectual lens of comedic creativity and character driven sketches. The series brings to life the collision of art and comedy with an uncanny resemblance of current day realities and the human condition.",10,2021
